dispatching_base_number,date,active_vehicles,trips,year,month,weekday,trips_per_vehicle
B02598,2015-02-13,1216,13062,2015,2,Friday,10.741776315789474
B02764,2015-02-14,4129,45858,2015,2,Saturday,11.10632114313393
B02512,2015-02-14,236,2055,2015,2,Saturday,8.707627118644067
B02598,2015-02-14,1111,12678,2015,2,Saturday,11.411341134113412
B02765,2015-02-14,583,6307,2015,2,Saturday,10.818181818181818
B02617,2015-02-14,1486,16999,2015,2,Saturday,11.439434724091521
B02682,2015-02-14,1428,16448,2015,2,Saturday,11.518207282913165
B02682,2015-02-15,1261,14517,2015,2,Sunday,11.51229183187946
B02764,2015-02-15,3651,41209,2015,2,Sunday,11.287044645302657
B02617,2015-02-15,1293,14662,2015,2,Sunday,11.33952049497293
B02765,2015-02-15,521,5500,2015,2,Sunday,10.556621880998081
B02512,2015-02-15,210,1996,2015,2,Sunday,9.504761904761905
B02598,2015-02-15,1003,11517,2015,2,Sunday,11.482552342971086
B02598,2015-02-16,934,9052,2015,2,Monday,9.691648822269807
B02512,2015-02-16,207,1576,2015,2,Monday,7.613526570048309
B02617,2015-02-16,1214,11824,2015,2,Monday,9.739703459637562
B02764,2015-02-16,3524,33448,2015,2,Monday,9.491486946651532
B02682,2015-02-16,1164,11323,2015,2,Monday,9.72766323024055
B02765,2015-02-16,508,4875,2015,2,Monday,9.596456692913385
B02764,2015-02-17,3826,32473,2015,2,Tuesday,8.487454260324098
B02512,2015-02-17,241,1797,2015,2,Tuesday,7.45643153526971
B02682,2015-02-17,1314,11887,2015,2,Tuesday,9.04642313546423
B02617,2015-02-17,1378,12524,2015,2,Tuesday,9.088534107402031
B02598,2015-02-17,1066,9463,2015,2,Tuesday,8.877110694183864
B02765,2015-02-17,578,4907,2015,2,Tuesday,8.48961937716263
B02598,2015-02-18,1078,9538,2015,2,Wednesday,8.847866419294991
B02682,2015-02-18,1314,11724,2015,2,Wednesday,8.922374429223744
B02617,2015-02-18,1394,12016,2015,2,Wednesday,8.619799139167862
B02765,2015-02-18,586,5059,2015,2,Wednesday,8.633105802047782
B02764,2015-02-18,3842,32317,2015,2,Wednesday,8.41150442477876
B02512,2015-02-18,228,1589,2015,2,Wednesday,6.969298245614035
B02598,2015-02-19,1127,11739,2015,2,Thursday,10.416149068322982
B02512,2015-02-19,250,2120,2015,2,Thursday,8.48
B02682,2015-02-19,1428,14591,2015,2,Thursday,10.217787114845938
B02764,2015-02-19,4110,39110,2015,2,Thursday,9.51581508515815
B02765,2015-02-19,663,6447,2015,2,Thursday,9.723981900452488
B02617,2015-02-19,1452,14750,2015,2,Thursday,10.158402203856749
B02764,2015-02-20,4384,44755,2015,2,Friday,10.208713503649635
B02617,2015-02-20,1574,16856,2015,2,Friday,10.709021601016518
B02598,2015-02-20,1186,12758,2015,2,Friday,10.75716694772344
B02682,2015-02-20,1497,16342,2015,2,Friday,10.916499665998664
B02765,2015-02-20,736,7824,2015,2,Friday,10.630434782608695
B02512,2015-02-20,272,2380,2015,2,Friday,8.75
B02598,2015-02-21,1044,12132,2015,2,Saturday,11.620689655172415
B02682,2015-02-21,1374,16149,2015,2,Saturday,11.753275109170305
B02765,2015-02-21,685,7658,2015,2,Saturday,11.17956204379562
B02617,2015-02-21,1443,16098,2015,2,Saturday,11.155925155925155
B02512,2015-02-21,238,2149,2015,2,Saturday,9.029411764705882
B02764,2015-02-21,3981,44194,2015,2,Saturday,11.101230846520975
B02512,2015-02-22,199,1312,2015,2,Sunday,6.592964824120603
B02617,2015-02-22,1248,10696,2015,2,Sunday,8.570512820512821
B02682,2015-02-22,1220,10970,2015,2,Sunday,8.991803278688524
B02764,2015-02-22,3478,30157,2015,2,Sunday,8.670787809085681
B02598,2015-02-22,909,8271,2015,2,Sunday,9.099009900990099
B02765,2015-02-22,566,5034,2015,2,Sunday,8.89399293286219
B02598,2015-02-23,966,8943,2015,2,Monday,9.25776397515528
B02617,2015-02-23,1332,11720,2015,2,Monday,8.7987987987988
B02764,2015-02-23,3734,31173,2015,2,Monday,8.34841992501339
B02682,2015-02-23,1262,11714,2015,2,Monday,9.282091917591126
B02765,2015-02-23,665,5823,2015,2,Monday,8.756390977443608
B02512,2015-02-23,238,1844,2015,2,Monday,7.7478991596638656
B02764,2015-02-24,3965,34686,2015,2,Tuesday,8.748045397225725
B02512,2015-02-24,247,1869,2015,2,Tuesday,7.566801619433198
B02598,2015-02-24,1061,9954,2015,2,Tuesday,9.381715362865222
B02682,2015-02-24,1346,12497,2015,2,Tuesday,9.284546805349184
B02617,2015-02-24,1456,13719,2015,2,Tuesday,9.42239010989011
B02765,2015-02-24,698,6390,2015,2,Tuesday,9.154727793696274
B02512,2015-02-25,246,1647,2015,2,Wednesday,6.695121951219512
B02598,2015-02-25,1076,9405,2015,2,Wednesday,8.740706319702602
B02765,2015-02-25,706,6178,2015,2,Wednesday,8.75070821529745
B02682,2015-02-25,1395,12693,2015,2,Wednesday,9.098924731182796
B02617,2015-02-25,1473,12811,2015,2,Wednesday,8.697216564833672
B02764,2015-02-25,3934,31957,2015,2,Wednesday,8.123284189120488
B02598,2015-02-26,1134,10661,2015,2,Thursday,9.401234567901234
B02617,2015-02-26,1539,14461,2015,2,Thursday,9.396361273554255
B02682,2015-02-26,1465,13814,2015,2,Thursday,9.429351535836178
B02512,2015-02-26,243,1797,2015,2,Thursday,7.395061728395062
B02765,2015-02-26,745,6744,2015,2,Thursday,9.052348993288591
B02764,2015-02-26,4101,36091,2015,2,Thursday,8.800536454523288
B02765,2015-02-27,786,7563,2015,2,Friday,9.622137404580153
B02617,2015-02-27,1551,14677,2015,2,Friday,9.462927143778208
B02598,2015-02-27,1114,10755,2015,2,Friday,9.654398563734292
B02512,2015-02-27,272,2056,2015,2,Friday,7.5588235294117645
B02764,2015-02-27,4253,38780,2015,2,Friday,9.118269456853985
B02682,2015-02-27,1510,14975,2015,2,Friday,9.917218543046358
B02598,2015-02-28,994,10319,2015,2,Saturday,10.38128772635815
B02764,2015-02-28,3952,39812,2015,2,Saturday,10.073886639676113
B02617,2015-02-28,1372,14022,2015,2,Saturday,10.220116618075801
B02682,2015-02-28,1386,14472,2015,2,Saturday,10.441558441558442
B02512,2015-02-28,230,1803,2015,2,Saturday,7.839130434782609
B02765,2015-02-28,747,7753,2015,2,Saturday,10.378848728246318
